Date : 2025-07-11 14:32:02
Directory : c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant
Total : 82 files,  4213 codes, 648 comments, 878 blanks, all 5739 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ios\RunnerTests                                                                                                |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                     |          3 |         27 |          0 |          3 |         30 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                  |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                            |         26 |      1,900 |        372 |        407 |      2,679 |
| lib (Files)                                                                                                    |          1 |         47 |          2 |          5 |         54 |
| lib\l10n                                                                                                       |          8 |        507 |        225 |        180 |        912 |
| lib\models                                                                                                     |          3 |        134 |         28 |         44 |        206 |
| lib\visuals                                                                                                    |         14 |      1,212 |        117 |        178 |      1,507 |
| lib\visuals\dialogs                                                                                            |          4 |        166 |         15 |         32 |        213 |
| lib\visuals\pages                                                                                              |          2 |        300 |         29 |         38 |        367 |
| lib\visuals\smallwidgets                                                                                       |          6 |        556 |         62 |         86 |        704 |
| lib\visuals\widgets                                                                                            |          2 |        190 |         11 |         22 |        223 |
| linux                                                                                                          |          9 |        325 |         37 |         92 |        454 |
| linux (Files)                                                                                                  |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                                                  |          4 |        105 |          9 |         27 |        141 |
| linux\runner                                                                                                   |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                          |          6 |        447 |          5 |         17 |        469 |
| macos\Flutter                                                                                                  |          1 |          6 |          3 |          4 |         13 |
| macos\Runner                                                                                                   |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                                           |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                                              |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                        |          1 |        343 |          0 |          1 |        344 |
| web                                                                                                            |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                        |         14 |        679 |         94 |        188 |        961 |
| windows (Files)                                                                                                |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                                |          4 |        128 |          9 |         29 |        166 |
| windows\runner                                                                                                 |          9 |        462 |         85 |        139 |        686 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                       | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\README.md                                                     | Markdown           |         10 |          0 |          7 |         17 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\analysis_options.yaml                                         | YAML               |          3 |         22 |          4 |         29 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\debug\AndroidManifest.xml                     | XML                |          3 |          4 |          1 |          8 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\AndroidManifest.xml                      | XML                |         40 |         11 |          3 |         54 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\drawable-v21\launch_background.xml   | XML                |          4 |          7 |          2 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\drawable\launch_background.xml       | XML                |          4 |          7 |          2 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\values-night\styles.xml              | XML                |          9 |          9 |          1 |         19 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\values\styles.xml                    | XML                |          9 |          9 |          1 |         19 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\profile\AndroidManifest.xml                   | XML                |          3 |          4 |          1 |          8 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\build\reports\problems\problems-report.html           | HTML               |        548 |          2 |        114 |        664 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\gradle.properties                                     | Properties         |          3 |          0 |          1 |          4 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\gradle\wrapper\gradle-wrapper.properties              | Properties         |          5 |          0 |          1 |          6 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\assets\icon\desktop.ini                                       | Ini                |          2 |          0 |          1 |          3 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\devtools_options.yaml                                         | YAML               |          3 |          0 |          1 |          4 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\RunnerTests\RunnerTests.swift                             | Swift              |          7 |          2 |          4 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\AppDelegate.swift                                  | Swift              |         12 |          0 |          2 |         14 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON               |         23 |          0 |          1 |         24 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown           |          3 |          0 |          2 |          5 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML                |         36 |          1 |          1 |         38 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Base.lproj\Main.storyboard                         | XML                |         25 |          1 |          1 |         27 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Runner-Bridging-Header.h                           | C++                |          1 |          0 |          1 |          2 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\l10n.yaml                                                     | YAML               |          4 |          0 |          0 |          4 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_en.arb                                           | JSON               |         44 |          0 |          0 |         44 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_fr.arb                                           | JSON               |         44 |          0 |          0 |         44 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations.dart                               | Dart               |         97 |        216 |         54 |        367 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations_en.dart                            | Dart               |         90 |          3 |         41 |        134 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations_fr.dart                            | Dart               |         92 |          3 |         41 |        136 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations_pt.dart                            | Dart               |         90 |          3 |         41 |        134 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_pt.arb                                           | JSON               |         44 |          0 |          1 |         45 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\l10n.dart                                            | Dart               |          6 |          0 |          2 |          8 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\main.dart                                                 | Dart               |         47 |          2 |          5 |         54 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\models\bluetoothmodule.dart                               | Dart               |        123 |         26 |         32 |        181 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\models\generalvalues.dart                                 | Dart               |          2 |          1 |          5 |          8 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\models\localenotifer.dart                                 | Dart               |          9 |          1 |          7 |         17 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\circularloading.dart                      | Dart               |         31 |          3 |          6 |         40 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\normalalert.dart                          | Dart               |         23 |          1 |          6 |         30 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\passwordpopup.dart                        | Dart               |         44 |          3 |         10 |         57 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\welcomepopup.dart                         | Dart               |         68 |          8 |         10 |         86 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\pages\menupage.dart                               | Dart               |        248 |         25 |         27 |        300 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\pages\splashscreen.dart                           | Dart               |         52 |          4 |         11 |         67 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\antactionbutton.dart                 | Dart               |         64 |          9 |         13 |         86 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\antbodycontrols.dart                 | Dart               |        148 |         21 |         22 |        191 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\bottomsheet.dart                     | Dart               |         23 |          1 |          5 |         29 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\devicelist.dart                      | Dart               |         73 |          7 |         11 |         91 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\devicelistitem.dart                  | Dart               |         17 |          3 |          5 |         25 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\dpad.dart                            | Dart               |        231 |         21 |         30 |        282 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\widgets\antmovingcontrols.dart                    | Dart               |        129 |          6 |         16 |        151 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\widgets\bluetoothmenu.dart                        | Dart               |         61 |          5 |          6 |         72 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\CMakeLists.txt                                          | CMake              |        104 |          0 |         25 |        129 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\CMakeLists.txt                                  | CMake              |         79 |          0 |         10 |         89 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\generated_plugin_registrant.cc                  | C++                |          3 |          4 |          5 |         12 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\generated_plugin_registrant.h                   | C++                |          5 |          5 |          6 |         16 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\generated_plugins.cmake                         | CMake              |         18 |          0 |          6 |         24 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\CMakeLists.txt                                   | CMake              |         21 |          0 |          6 |         27 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\main.cc                                          | C++                |          5 |          0 |          2 |          7 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\my_application.cc                                | C++                |         83 |         21 |         27 |        131 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\my_application.h                                 | C++                |          7 |          7 |          5 |         19 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift              |          6 |          3 |          4 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\RunnerTests\RunnerTests.swift                           | Swift              |          7 |          2 |          4 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\AppDelegate.swift                                | Swift              |         11 |          0 |          3 |         14 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON               |         68 |          0 |          1 |         69 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\Base.lproj\MainMenu.xib                          | XML                |        343 |          0 |          1 |        344 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\MainFlutterWindow.swift                          | Swift              |         12 |          0 |          4 |         16 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\mobile_gaya_ant.code-workspace                                | JSON with Comments |          8 |          0 |          0 |          8 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\pubspec.yaml                                                  | YAML               |         42 |         46 |         16 |        104 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\web\index.html                                                | HTML               |         19 |         15 |          5 |         39 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\web\manifest.json                                             | JSON               |         35 |          0 |          1 |         36 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\CMakeLists.txt                                        | CMake              |         89 |          0 |         20 |        109 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\CMakeLists.txt                                | CMake              |         98 |          0 |         12 |        110 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\generated_plugin_registrant.cc                | C++                |          6 |          4 |          5 |         15 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\generated_plugin_registrant.h                 | C++                |          5 |          5 |          6 |         16 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\generated_plugins.cmake                       | CMake              |         19 |          0 |          6 |         25 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\CMakeLists.txt                                 | CMake              |         34 |          0 |          7 |         41 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\flutter_window.cpp                             | C++                |         49 |          7 |         16 |         72 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\flutter_window.h                               | C++                |         20 |          5 |          9 |         34 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\main.cpp                                       | C++                |         30 |          4 |         10 |         44 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\resource.h                                     | C++                |          9 |          6 |          2 |         17 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\utils.cpp                                      | C++                |         54 |          2 |         10 |         66 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\utils.h                                        | C++                |          8 |          6 |          6 |         20 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\win32_window.cpp                               | C++                |        210 |         24 |         55 |        289 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\win32_window.h                                 | C++                |         48 |         31 |         24 |        103 |
| Total                                                                                                          |                    |      4,213 |        648 |        878 |      5,739 |
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
