Date : 2025-07-08 14:57:37
Directory : c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant
Total : 78 files,  3588 codes, 480 comments, 744 blanks, all 4812 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Dart               |         20 |      1,215 |        204 |        272 |      1,691 |
| HTML               |          2 |        567 |         17 |        119 |        703 |
| C++                |         16 |        543 |        131 |        189 |        863 |
| XML                |         10 |        476 |         53 |         14 |        543 |
| CMake              |          8 |        462 |          0 |         92 |        554 |
| JSON               |          6 |        191 |          0 |          3 |        194 |
| Swift              |          6 |         53 |          7 |         21 |         81 |
| YAML               |          4 |         50 |         68 |         22 |        140 |
| Markdown           |          2 |         13 |          0 |          9 |         22 |
| JSON with Comments |          1 |          8 |          0 |          0 |          8 |
| Properties         |          2 |          8 |          0 |          2 |         10 |
| Ini                |          1 |          2 |          0 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         78 |      3,588 |        480 |        744 |      4,812 |
| . (Files)                                                                                                      |          6 |         68 |         68 |         29 |        165 |
| android                                                                                                        |         10 |        628 |         53 |        127 |        808 |
| android (Files)                                                                                                |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                                    |          7 |         72 |         51 |         11 |        134 |
| android\app\src                                                                                                |          7 |         72 |         51 |         11 |        134 |
| android\app\src\debug                                                                                          |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                           |          5 |         66 |         43 |          9 |        118 |
| android\app\src\main (Files)                                                                                   |          1 |         40 |         11 |          3 |         54 |
| android\app\src\main\res                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                        |          1 |          3 |          4 |          1 |          8 |
| android\build                                                                                                  |          1 |        548 |          2 |        114 |        664 |
| android\build\reports                                                                                          |          1 |        548 |          2 |        114 |        664 |
| android\build\reports\problems                                                                                 |          1 |        548 |          2 |        114 |        664 |
| android\gradle                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                         |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                         |          1 |          2 |          0 |          1 |          3 |
| assets\icon                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| ios                                                                                                            |          8 |        108 |          4 |         12 |        124 |
| ios\Runner                                                                                                     |          7 |        101 |          2 |          8 |        111 |
| ios\Runner (Files)                                                                                             |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                     |          3 |         27 |          0 |          3 |         30 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                  |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                            |         21 |      1,265 |        194 |        265 |      1,724 |
| lib (Files)                                                                                                    |          1 |         48 |          1 |          5 |         54 |
| lib\l10n                                                                                                       |          6 |        274 |        174 |        102 |        550 |
| lib\models                                                                                                     |          2 |         11 |          0 |          7 |         18 |
| lib\visuals                                                                                                    |         12 |        932 |         19 |        151 |      1,102 |
| lib\visuals\dialogs                                                                                            |          2 |         51 |          0 |         10 |         61 |
| lib\visuals\pages                                                                                              |          2 |        243 |          7 |         37 |        287 |
| lib\visuals\smallwidgets                                                                                       |          5 |        376 |          4 |         65 |        445 |
| lib\visuals\widgets                                                                                            |          3 |        262 |          8 |         39 |        309 |
| linux                                                                                                          |          9 |        325 |         37 |         92 |        454 |
| linux (Files)                                                                                                  |          1 |        104 |          0 |         25 |        129 |
