Date : 2025-07-08 14:57:37
Directory : c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant
Total : 78 files,  3588 codes, 480 comments, 744 blanks, all 4812 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| linux\flutter                                                                                                  |          4 |        105 |          9 |         27 |        141 |
| linux\runner                                                                                                   |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                          |          6 |        445 |          5 |         17 |        467 |
| macos\Flutter                                                                                                  |          1 |          4 |          3 |          4 |         11 |
| macos\Runner                                                                                                   |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                                           |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                                              |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                        |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                           |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                            |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                        |         14 |        679 |         94 |        188 |        961 |
| windows (Files)                                                                                                |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                                |          4 |        128 |          9 |         29 |        166 |
| windows\runner                                                                                                 |          9 |        462 |         85 |        139 |        686 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                       | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\README.md                                                     | Markdown           |         10 |          0 |          7 |         17 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\analysis_options.yaml                                         | YAML               |          3 |         22 |          4 |         29 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\debug\AndroidManifest.xml                     | XML                |          3 |          4 |          1 |          8 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\AndroidManifest.xml                      | XML                |         40 |         11 |          3 |         54 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\drawable-v21\launch_background.xml   | XML                |          4 |          7 |          2 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\drawable\launch_background.xml       | XML                |          4 |          7 |          2 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\values-night\styles.xml              | XML                |          9 |          9 |          1 |         19 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\values\styles.xml                    | XML                |          9 |          9 |          1 |         19 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\profile\AndroidManifest.xml                   | XML                |          3 |          4 |          1 |          8 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\build\reports\problems\problems-report.html           | HTML               |        548 |          2 |        114 |        664 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\gradle.properties                                     | Properties         |          3 |          0 |          1 |          4 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\gradle\wrapper\gradle-wrapper.properties              | Properties         |          5 |          0 |          1 |          6 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\assets\icon\desktop.ini                                       | Ini                |          2 |          0 |          1 |          3 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\devtools_options.yaml                                         | YAML               |          3 |          0 |          1 |          4 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\RunnerTests\RunnerTests.swift                             | Swift              |          7 |          2 |          4 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\AppDelegate.swift                                  | Swift              |         12 |          0 |          2 |         14 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON               |         23 |          0 |          1 |         24 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown           |          3 |          0 |          2 |          5 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML                |         36 |          1 |          1 |         38 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Base.lproj\Main.storyboard                         | XML                |         25 |          1 |          1 |         27 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\ios\Runner\Runner-Bridging-Header.h                           | C++                |          1 |          0 |          1 |          2 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\l10n.yaml                                                     | YAML               |          4 |          0 |          0 |          4 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_en.arb                                           | JSON               |         32 |          0 |          0 |         32 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations.dart                               | Dart               |         81 |        168 |         42 |        291 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations_en.dart                            | Dart               |         62 |          3 |         29 |         94 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_localizations_pt.dart                            | Dart               |         61 |          3 |         29 |         93 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\app_pt.arb                                           | JSON               |         32 |          0 |          0 |         32 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\l10n\l10n.dart                                            | Dart               |          6 |          0 |          2 |          8 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\main.dart                                                 | Dart               |         48 |          1 |          5 |         54 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\models\generalvalues.dart                                 | Dart               |          2 |          0 |          3 |          5 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\models\localenotifer.dart                                 | Dart               |          9 |          0 |          4 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\circularloading.dart                      | Dart               |         28 |          0 |          5 |         33 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\dialogs\normalalert.dart                          | Dart               |         23 |          0 |          5 |         28 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\pages\menupage.dart                               | Dart               |        191 |          7 |         27 |        225 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\pages\splashscreen.dart                           | Dart               |         52 |          0 |         10 |         62 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\antactionbutton.dart                 | Dart               |         53 |          1 |         10 |         64 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\antbodycontrols.dart                 | Dart               |        121 |          1 |         14 |        136 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\bottomsheet.dart                     | Dart               |         16 |          0 |          4 |         20 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\devicelistitem.dart                  | Dart               |         17 |          0 |          5 |         22 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\smallwidgets\tiltingdpad.dart                     | Dart               |        169 |          2 |         32 |        203 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\widgets\antmovingcontrols.dart                    | Dart               |         74 |          2 |         10 |         86 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\widgets\bluetoothmenu.dart                        | Dart               |         78 |          0 |          3 |         81 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\lib\visuals\widgets\bluetoothmodule.dart                      | Dart               |        110 |          6 |         26 |        142 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\CMakeLists.txt                                          | CMake              |        104 |          0 |         25 |        129 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\CMakeLists.txt                                  | CMake              |         79 |          0 |         10 |         89 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\generated_plugin_registrant.cc                  | C++                |          3 |          4 |          5 |         12 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\generated_plugin_registrant.h                   | C++                |          5 |          5 |          6 |         16 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\flutter\generated_plugins.cmake                         | CMake              |         18 |          0 |          6 |         24 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\CMakeLists.txt                                   | CMake              |         21 |          0 |          6 |         27 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\main.cc                                          | C++                |          5 |          0 |          2 |          7 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\my_application.cc                                | C++                |         83 |         21 |         27 |        131 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\my_application.h                                 | C++                |          7 |          7 |          5 |         19 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift              |          4 |          3 |          4 |         11 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\RunnerTests\RunnerTests.swift                           | Swift              |          7 |          2 |          4 |         13 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\AppDelegate.swift                                | Swift              |         11 |          0 |          3 |         14 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON               |         68 |          0 |          1 |         69 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\Base.lproj\MainMenu.xib                          | XML                |        343 |          0 |          1 |        344 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\MainFlutterWindow.swift                          | Swift              |         12 |          0 |          4 |         16 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\mobile_gaya_ant.code-workspace                                | JSON with Comments |          8 |          0 |          0 |          8 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\pubspec.yaml                                                  | YAML               |         40 |         46 |         17 |        103 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\test\widget_test.dart                                         | Dart               |         14 |         10 |          7 |         31 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\web\index.html                                                | HTML               |         19 |         15 |          5 |         39 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\web\manifest.json                                             | JSON               |         35 |          0 |          1 |         36 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\CMakeLists.txt                                        | CMake              |         89 |          0 |         20 |        109 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\CMakeLists.txt                                | CMake              |         98 |          0 |         12 |        110 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\generated_plugin_registrant.cc                | C++                |          6 |          4 |          5 |         15 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\generated_plugin_registrant.h                 | C++                |          5 |          5 |          6 |         16 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\generated_plugins.cmake                       | CMake              |         19 |          0 |          6 |         25 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\CMakeLists.txt                                 | CMake              |         34 |          0 |          7 |         41 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\flutter_window.cpp                             | C++                |         49 |          7 |         16 |         72 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\flutter_window.h                               | C++                |         20 |          5 |          9 |         34 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\main.cpp                                       | C++                |         30 |          4 |         10 |         44 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\resource.h                                     | C++                |          9 |          6 |          2 |         17 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\utils.cpp                                      | C++                |         54 |          2 |         10 |         66 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\utils.h                                        | C++                |          8 |          6 |          6 |         20 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\win32_window.cpp                               | C++                |        210 |         24 |         55 |        289 |
| c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\win32_window.h                                 | C++                |         48 |         31 |         24 |        103 |
| Total                                                                                                          |                    |      3,588 |        480 |        744 |      4,812 |
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
